TYPE;NAME;ACTIVE;COLOR;
"P";"Organisationsprojekt";;;
"P";"Produktprojekt";;;
"M";"Produkt";;;
"M";"Einkaufsartikel";;;
"T";"Verwaltung";;;
"T";"Organisation";;;
"T";"Kundenkontakt";;;
"C";"Urlaub";;clRed;
"C";"Krank";;clAqua;
"C";"Dienstreise";;clBlue;
"C";"Gleitzeit";;clGreen;
"C";"Schule";;clYellow;
"C";"geplant";;clOlive;
"B";"Gehalt";;;
"B";"Auto";;;
"B";"Computer";;;
"B";"Kind";;;
"B";"Telefon";;;
"B";"Lebenserhaltung";;;
"B";"Freizeit";;;
"B";"Geschenke";;;
"B";"Gebühren";;;
"B";"Versicherungen";;;
"B";"Gewinne aus Geldanlagen";;;
"B";"Verluste aus Geldanlagen";;;
