TYPE;NAME;CHANGEDBY;LANGUAGE;REPORT;TEXT;
"CUSD";"Kundenkarte";"ADM";"de";"_REPORT0.dat";"_TEXT0.dat";
"ORAU";"Standart";"ADM";"de";"_REPORT1.dat";"_TEXT1.dat";
"CUSL";"Kundenliste";"ADM";"de";"_REPORT2.dat";"_TEXT2.dat";
"ARTL";"Standart";"ADM";"de";"_REPORT3.dat";"_TEXT3.dat";
"TSKL";"Standart";"ADM";"de";"_REPORT4.dat";"_TEXT4.dat";
"ORSR";"Standart";"ADM";"de";"_REPORT5.dat";"_TEXT5.dat";
"ORLI";"Standart";"ADM";"de";"_REPORT6.dat";"_TEXT6.dat";
"ORDL";"Standart";"ADM";"de";"_REPORT7.dat";"_TEXT7.dat";
"ORAN";"Standart";"ADM";"de";"_REPORT8.dat";"_TEXT8.dat";
"ORRS";"Standart";"ADM";"de";"_REPORT9.dat";"_TEXT9.dat";
"ORBS";"Standart";"ADM";"de";"_REPORT10.dat";"_TEXT10.dat";
"ORRB";"Reparaturbericht";"ADM";"de";"_REPORT11.dat";"_TEXT11.dat";
"MESD";"Standart";"ADM";"de";"_REPORT12.dat";"_TEXT12.dat";
"PRT";"Standart";"ADM";"de";"_REPORT13.dat";"_TEXT13.dat";
"PROT";"Standart";"ADM";"de";"_REPORT14.dat";"_TEXT14.dat";
"ORPR";"Standart";"ADM";"de";"_REPORT15.dat";"_TEXT15.dat";
"MEE";"Besprechungsprotokoll";"ADM";"de";"_REPORT16.dat";"_TEXT16.dat";
