"SQL_ID";"TYPE";"ACCOUNTNO";"NAME";"PASSWORD";"IDCODE";"EMPLOYMENT";"LEAVED";"CUSTOMERNO";"DEPARTMENT";"POSITION";"PARENT";
"1";"G";"R63SSD3R84DP5";"Firma";;;;;;;;;
"2";"G";"R63SSD3R84DP6";"Geschäftsleitung";;;;;;;;"1";
"3";"U";"R63SSD3R84DP7";"Administrator";;"ADM";;;;;;"2";
"4";"G";"R63SSD3R84DP8";"Produktmanagment";;;;;;;;"1";
"5";"G";"R63SSD3R84DP9";"Projektmanagment";;;;;;;;"1";
"6";"G";"R63SSD3R84DPA";"Entwicklung";;;;;;;;"1";
"10";"G";"R63SSD3R84DPB";"Vertrieb";;;;;;;;"1";
"7";"G";"R63SSD3R84DPB";"Fertigung";;;;;;;;"1";
"8";"G";"R63SSD3R84DPC";"Lager";;;;;;;;"1";
"9";"G";"R63SSD3R84DPD";"Buchhaltung";;;;;;;;"1";
"11";"G";"R63SSD3R84DPD";"Marketing";;;;;;;;"1";
